GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
salon,com.cristiane.salon.models.appointment.enums,AppointmentStatus,0,39,0,0,0,7,0,1,0,1
salon,com.cristiane.salon.models.appointment.enums,PaymentStatus,0,27,0,0,0,5,0,1,0,1
salon,com.cristiane.salon.models.user.controller,ClientController,0,13,0,0,0,2,0,2,0,2
salon,com.cristiane.salon.models.user.controller,RoleController,0,24,0,0,0,4,0,4,0,4
salon,com.cristiane.salon.models.user.controller,AuthController,0,24,0,0,0,4,0,4,0,4
salon,com.cristiane.salon.models.user.controller,UserController,0,51,0,0,0,9,0,8,0,8
salon,com.cristiane.salon.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
salon,com.cristiane.salon.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
salon,com.cristiane.salon.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
salon,com.cristiane.salon.exception,GlobalExceptionHandler,67,381,9,13,20,105,12,22,4,19
salon,com.cristiane.salon.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
salon,com.cristiane.salon.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
salon,com.cristiane.salon.exception,ErrorResponse,0,18,0,0,0,7,0,1,0,1
salon,com.cristiane.salon.aspect,AuditAspect.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.aspect,AuditAspect,28,564,26,62,9,115,25,27,0,8
salon,com.cristiane.salon,SalonApplication,0,12,0,0,0,5,0,3,0,3
salon,com.cristiane.salon.models.service.dto,SalonServiceResponse,0,42,0,0,0,9,0,2,0,2
salon,com.cristiane.salon.models.service.dto,SalonServiceRequest,0,21,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.appointment.dto,GeneratePixRequest,0,9,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.appointment.dto,TimeSlotResponse,9,0,0,0,1,0,1,0,1,0
salon,com.cristiane.salon.models.appointment.dto,AppointmentRequest,0,21,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.appointment.dto,AppointmentResponse,3,172,3,7,1,30,3,6,0,4
salon,com.cristiane.salon.models.appointment.dto,ConfirmAppointmentRequest,0,6,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.service.service,SalonServiceManager,0,256,6,30,0,45,6,25,0,13
salon,com.cristiane.salon.models.user.entity,User,55,21,6,2,12,5,7,5,4,4
salon,com.cristiane.salon.models.appointment.service,AppointmentService,147,1108,49,139,32,238,43,80,3,26
salon,com.cristiane.salon.integrations.payment.service,MercadoPagoPaymentService,14,302,7,27,3,71,7,15,0,5
salon,com.cristiane.salon.models.featureflag.service,FeatureFlagService,0,109,0,6,0,22,0,7,0,4
salon,com.cristiane.salon.models.product.controller,ProductController,0,40,0,0,0,7,0,6,0,6
salon,com.cristiane.salon.config.logging,MaskingMessageConverter,11,326,5,23,2,75,5,20,0,11
salon,com.cristiane.salon.models.employee.entity,CommissionScope,0,15,0,0,0,3,0,1,0,1
salon,com.cristiane.salon.models.employee.entity,RemunerationType,0,21,0,0,0,4,0,1,0,1
salon,com.cristiane.salon.integrations.payment.controller,MercadoPagoWebhookController,0,82,3,11,0,16,3,6,0,2
salon,com.cristiane.salon.models.cashflow.service,CashFlowService,6,320,7,35,1,67,7,19,0,5
salon,com.cristiane.salon.models.report.dto,PayrollReportResponse,0,9,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.report.dto,EmployeeFinanceResponse,0,30,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.report.dto,AppointmentReportResponse,0,27,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.report.dto,PayrollReportResponse.PayrollItem,0,21,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.report.dto,FinancialReportResponse,0,24,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,ClientFilter,0,18,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,PermissionResponse,0,18,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,UserUpdateRequest,0,24,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,UserResponse,0,47,0,0,0,10,0,2,0,2
salon,com.cristiane.salon.models.user.dto,RegisterRequest,0,15,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,RolePermissionsResponse,0,12,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,UserFilter,0,18,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,UserProfileResponse,0,21,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,UserCpfInfoResponse,0,9,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,UpdateCpfRequest,0,6,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,UserCreateRequest,0,21,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,ClientDetailsResponse,0,36,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.models.user.dto,TokenResponse,0,9,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.config,SpaWebConfig,0,31,0,0,0,6,0,2,0,2
salon,com.cristiane.salon.config,SpaWebConfig.new PathResourceResolver() {...},32,18,15,3,5,5,9,2,0,2
salon,com.cristiane.salon.config,BeanConfig.new JsonSerializer() {...},12,10,2,0,4,3,2,2,1,2
salon,com.cristiane.salon.config,BeanConfig.new ValueSerializer() {...},18,13,2,0,5,4,2,2,1,2
salon,com.cristiane.salon.config,BeanConfig.new ValueSerializer() {...},13,10,2,0,4,3,2,2,1,2
salon,com.cristiane.salon.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
salon,com.cristiane.salon.config,AuditLogTableInitializer,28,32,1,1,8,7,1,3,0,3
salon,com.cristiane.salon.config,BeanConfig.new JsonSerializer() {...},17,13,2,0,5,4,2,2,1,2
salon,com.cristiane.salon.config,MethodSecurityConfig,0,3,0,0,0,1,0,1,0,1
salon,com.cristiane.salon.config,OpenApiConfig,0,42,0,0,0,14,0,2,0,2
salon,com.cristiane.salon.config,SpaRedirectController,20,3,6,0,4,1,4,1,1,1
salon,com.cristiane.salon.config,BeanConfig,0,71,0,0,0,15,0,5,0,5
salon,com.cristiane.salon.config,SecurityConfig,0,201,0,0,0,26,0,6,0,6
salon,com.cristiane.salon.config,CorsConfig.new WebMvcConfigurer() {...},0,55,0,0,0,7,0,2,0,2
salon,com.cristiane.salon.security,JwtAuthenticationFilter,0,70,0,10,0,18,0,6,0,1
salon,com.cristiane.salon.security,CustomPermissionEvaluator,0,72,0,14,0,16,0,9,0,2
salon,com.cristiane.salon.security,JwtService,0,128,1,7,0,27,1,14,0,11
salon,com.cristiane.salon.security,VerifyUserPermissions,0,106,1,25,0,23,1,15,0,3
salon,com.cristiane.salon.security,AuditRequestFilter,20,381,20,66,4,93,19,32,0,4
salon,com.cristiane.salon.security,SecurityUserDetailsService,0,15,0,0,0,2,0,2,0,2
salon,com.cristiane.salon.utils,CpfValidator,13,144,15,25,5,22,16,6,1,1
salon,com.cristiane.salon.utils,LogMasker,33,184,7,23,6,43,8,14,1,6
salon,com.cristiane.salon.models.cashflow.enums,CashFlowType,0,15,0,0,0,3,0,1,0,1
salon,com.cristiane.salon.models.cashflow.controller,CashFlowController,0,22,0,0,0,4,0,3,0,3
